station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
102170,Östmark-Åsarna,2,60.2788,12.8538,11/1/2013 0:00,9/30/2016 23:59,135
102190,Östmark-Lämbacken,2,60.3097,12.6959,9/1/1955 0:00,2/29/1980 23:59,177
102200,Östmark-Rännberg,2,60.3328,12.6775,7/1/1980 0:00,7/31/1988 23:59,198
102210,Östmark-Röjdåsen,2,60.3548,12.6491,8/1/1988 0:00,5/31/2000 23:59,308
102390,Brattmon V,2,60.75686,12.77226,3/1/1996 0:00,10/1/2016 9:00,199
102540,Höljes,2,60.9066,12.5843,1/1/1961 0:00,8/31/2016 23:59,230
103050,Edebäck,2,60.0666,13.55,1/1/1961 0:00,6/30/1977 23:59,155
103080,Torsby,2,60.1075,12.9908,11/1/2005 0:00,12/31/2013 23:59,127
103090,Gustavsfors,2,60.1514,13.7975,1/1/1978 0:00,8/31/2016 23:59,190
103100,Gustavsfors A,2,60.1538,13.8019,8/1/1995 0:00,10/1/2016 9:00,187
103410,Malung,2,60.6717,13.7058,10/1/2011 0:00,9/30/2016 23:59,310
103420,Malung A,2,60.6773,13.71,10/1/2009 0:00,10/1/2016 9:00,306
103570,Knås,2,60.9676,13.8985,10/1/1987 0:00,2/28/1989 23:59,280
104090,Fredriksberg,2,60.1426,14.3951,4/1/1989 0:00,12/31/2012 23:59,305
104120,Lejen,2,60.2,14.4,1/1/1961 0:00,11/30/1976 23:59,340
104300,Mockfjärd,2,60.5074,14.9585,4/1/1973 0:00,12/31/1976 23:59,177
104390,Flaten,2,60.651,14.4277,1/1/1994 0:00,9/15/1998 23:59,296
104530,Siljansfors,2,60.8846,14.3786,1/1/1961 0:00,6/30/1991 23:59,260
104580,Mora A,2,60.9607,14.507,8/1/1995 0:00,10/1/2016 9:00,196
105070,Skeppsmora V,2,60.12295,15.12262,3/1/1996 0:00,10/1/2016 9:00,246
105200,Rämshyttan,2,60.3333,15.2,1/1/1961 0:00,4/30/1976 23:59,260
105220,Stora Spånsberget A,2,60.3822,15.1404,8/1/1995 0:00,10/1/2016 9:00,492
105230,Idkerberget,2,60.3758,15.231,1/1/1961 0:00,3/31/2010 23:59,260
105260,Borlänge Flygplats,2,60.4294,15.5079,1/1/1996 0:00,10/1/2016 9:00,152
105280,Borlänge Aut,2,60.4889,15.4324,7/1/1987 0:00,3/31/1999 23:59,140
105310,Borlänge,2,60.502,15.4606,4/1/1974 0:00,4/30/1978 23:59,120
105360,Gråda Kraftverk,2,60.6046,15.0146,1/1/1961 0:00,5/31/1982 23:59,155
105370,Falun-Lugnet,2,60.619,15.6603,6/1/2006 0:00,9/30/2016 23:59,140
